epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.176,2.46076,6.98511,2.32623,0,0,0,0,2.0961,15.759,2.16983,0.00012788,0.00012788,0.00012788
2,546.398,1.83677,4.74379,1.92309,0.00352,0.29332,0.00455,0.0019,1.95449,6.362,1.94991,0.000248385,0.000248385,0.000248385
3,886.015,1.6929,4.20169,1.83105,0.00183,0.28697,0.00306,0.00116,2.16864,4.75333,2.22104,0.000355679,0.000355679,0.000355679
4,1252.77,1.72234,4.02293,1.85741,0.00231,0.23874,0.00312,0.00095,2.09785,6.49378,2.1503,0.000449762,0.000449762,0.000449762
5,1639.5,1.72749,3.98754,1.82769,0.17011,0.15341,0.01824,0.00482,1.997,5.1342,2.04528,0.000445912,0.000445912,0.000445912
6,2057.36,1.68043,3.98143,1.83503,0.51309,0.02965,0.02396,0.00903,1.87648,4.34606,1.9902,0.00041839,0.00041839,0.00041839
7,2393.41,1.66734,3.94278,1.82438,0.00223,0.32392,0.00949,0.00319,2.02168,4.20276,2.05526,0.000390868,0.000390868,0.000390868
8,2703.21,1.6073,3.84729,1.77533,0.50694,0.01469,0.00784,0.0034,1.83994,4.19345,1.8466,0.000363346,0.000363346,0.000363346
9,3038.67,1.60314,3.8299,1.79127,0.00276,0.36132,0.01052,0.00455,1.83112,4.00574,1.85377,0.000335824,0.000335824,0.000335824
10,3311.85,1.56169,3.74048,1.76726,0.75352,0.01389,0.01925,0.00678,1.84563,4.0158,1.89098,0.000308302,0.000308302,0.000308302
11,3632.76,1.81135,4.12839,1.95756,0.67553,0.01389,0.01286,0.00588,1.80478,4.0192,1.96454,0.00028078,0.00028078,0.00028078
